district,title,community,floor,year,bedroom,living_room,area,price,unit_price
雨花,才子嘉都三期 产证在手，满五唯一 看房方便,才子嘉都三期,中楼层,,3,2,95.57,105,10987
雨花,首付10W 双地铁口 楼层好 户型通透,牛角塘小区,中楼层,,2,2,58.87,49.8,8460
雨花,房子南北对流双阳台万人之上视野采光好小高层一梯两户,茂华国际湘,高楼层,2013,3,1,100.6,93.5,9295
雨花,汇景豪庭 德思勤 复地星光天地 三十W精装好房,英泰汇景豪庭,高楼层,2016,2,2,89.15,96,10769
雨花,次新小区，双地铁口，万科物业有环境煤气管道,欧亚达国际广场,中楼层,2016,1,1,43.48,36,8280
雨花,丽发新城三期 3室2厅 东南,丽发新城三期,中楼层,,3,2,123.52,119,9635
雨花,地铁口三房，满五唯一，中间楼层，次新小区，随时看房,武广美誉,高楼层,2016,3,1,111.2,132.8,11943
雨花,满五唯一 中建物业 业主诚心出售,中建嘉和城,低楼层,,3,2,96.2,88,9148
雨花,公务员小区，新上低楼层两房，拎包住，楼层好，采光可,华盛世纪新城,低楼层,2009,2,2,91.67,88,9600
雨花,武广板块阳光城尚东湾愉景苑次新小区全新装修,阳光城愉景苑,高楼层,,4,2,146.94,185,12591
雨花,"此房业主诚心出售,交通方便,配套成熟,在德思勤边上",才子嘉都三期,中楼层,,5,2,125.05,138,11036
雨花,碧桂园南城首府自住装修，采光甚好户型通透 唯一住宅,碧桂园南城首府,低楼层,2014,3,2,115.63,120,10378
雨花,央企品质南北格局双阳台刚需好房,中建嘉和城,低楼层,,3,2,113.97,105,9213
雨花,圭塘地铁站 双主干道 两房 南向,欧亚达国际广场,中楼层,,2,1,59.31,65.8,11095
雨花,星光经纪人冯万辉为您推荐 地铁口正规二房,锦绣世纪,低楼层,2016,2,1,95.62,100,10459
雨花,中建优街 环境好 生活方便 毛坯 中高楼层,中建嘉和城,高楼层,,3,2,95.23,89,9346
雨花,阳光城愉景苑 3室2厅 南 北,阳光城愉景苑,高楼层,,3,2,114.54,120,10477
雨花,拎包入住 自住装修 环境好 购物方便 中建物业,中建嘉和城,高楼层,,3,2,99.0,110,11112
雨花,丽发新城三期 3室2厅 南,丽发新城三期,低楼层,,3,2,124.6,103,8267
